,2010-2020,2020-2030,2030-2040,2040-2050
Austria,0.999,0.999,0.998,0.998
Belgium,0.999,0.999,0.998,0.998
Bulgaria,0.998,0.997,0.998,0.998
Cyprus,0.996,0.999,0.998,0.999
Czechia,0.998,0.998,0.998,0.999
Germany,1,1,1,1
Denmark,1,1,1,1
Estonia,0.999,0.999,0.999,0.999
Spain,0.999,0.999,0.999,0.999
Finland,0.999,1,0.999,0.999
France,0.999,0.999,0.999,0.999
Greece,0.999,0.996,0.994,0.997
Hungary,0.998,1,1,1
Croatia,0.999,0.999,0.999,0.999
Ireland,0.995,0.998,0.998,0.998
Italy,0.999,0.998,0.998,0.998
Lithuania,0.994,0.997,0.998,0.998
Luxembourg,0.999,0.999,0.998,0.998
Latvia,0.998,0.997,0.998,0.999
Malta,0.994,0.999,0.999,0.999
Netherlands,0.998,0.997,0.996,0.995
Poland,0.993,0.994,0.995,0.996
Portugal,0.997,0.997,0.998,0.998
Romania,0.993,0.996,0.996,0.995
Sweden,1,1,1,1
Slovenia,0.998,0.997,0.997,0.998
Slovakia,0.993,0.997,0.998,0.999
United Kingdom,1,0.998,0.997,0.998
Norway,1,1,1,1
Switzerland,0.999,0.999,0.998,0.998
Liechtenstein,0.999,0.999,0.998,0.998
Iceland,1,1,1,1
