Names,Austria,Belgium,Bulgaria,Cyprus,Czechia,Germany,Denmark,Estonia,Spain,Finland,France,Greece,Hungary,Croatia,Ireland,Italy,Lithuania,Luxembourg,Latvia,Malta,Netherlands,Poland,Portugal,Romania,Sweden,Slovenia,Slovakia,United Kingdom,Turkey,Norway,Switzerland,Liechtenstein,Iceland
Percent of households_average,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,,,
Percent of households_city,32.57,60.71,50.37,53,33.58,55.99,31.79,47.4,51.41,38.37,48.19,42.73,34.23,30.02,43.08,34.71,44.75,40.25,51.69,92.6,58.4,39.69,45.31,34.2,25.99,20.58,38.1,63.25,0,22.96,,,
Percent of households_town,27.31,35.59,20.28,21.02,33.25,33.83,35.24,3.51,23.6,32.53,20.71,29.48,21.57,29.26,22.01,47.1,1.79,40.98,4.8,7.4,32.07,24.09,27.76,24,18.84,34.51,32.74,23.68,0,58.57,,,
Percent of households_rural,40.12,3.7,29.36,25.97,33.17,10.18,32.97,49.09,24.99,29.11,31.1,27.79,44.2,40.72,34.91,18.19,53.46,18.77,43.51,0,9.52,36.22,26.92,41.8,55.17,44.91,29.16,10.25,0,18.47,,,
Percentage of households_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.81,100,0,,,
Number in sample_average,7162,6135,2966,2876,2929,52412,2205,3395,22130,3673,16978,6150,7185,2029,6839,15013,3443,3167,3844,3691,14408,37148,11398,30625,2871,3750,4785,4912,33709,3363,,,
Number in sample_city,1978,3351,1293,1498,981,28469,606,1136,10502,1253,6655,2407,1912,569,2983,4373,1388,1201,1906,3391,7754,12705,4525,9769,705,634,1929,3017,0,673,,,
Number in sample_town,2078,2312,687,612,972,18208,782,94,5235,1223,5207,1852,1447,594,1361,6827,63,1351,103,300,5172,8564,3090,7004,532,1227,1545,1205,0,2097,,,
Number_in_sample_rural,3106,472,986,766,976,5735,817,2165,6393,1197,5116,1891,3826,866,2495,3813,1992,615,1835,0,1482,15879,3783,13852,1634,1889,1311,534,0,593,,,
Number in sample_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,33709,0,,,
Average_size_average,2.23,2.31,2.37,2.7,2.22,2,2.12,2.24,2.5,2.02,2.23,2.58,2.34,2.89,2.73,2.34,2.15,2.42,2.37,2.57,2.19,2.8,2.53,2.66,2.13,2.59,2.93,2.35,3.46,2.12,2.21,2.271708429,2.6
Average_size_city,1.95,2.19,2.34,2.51,2.1,1.83,2.08,2.18,2.44,1.92,2.13,2.46,2.12,2.78,2.68,2.19,2.07,2.24,2.26,2.58,2.07,2.44,2.51,2.4,2.08,2.37,2.64,2.39,0,1.83,,,
Average_size_town,2.2,2.51,2.42,2.94,2.15,2.16,2.03,2.4,2.59,2.06,2.27,2.62,2.42,2.85,2.72,2.42,2.14,2.48,2.15,2.46,2.34,2.79,2.64,2.77,2.15,2.59,2.9,2.28,0,2.18,,,
Average_size_rural,2.46,2.53,2.39,2.88,2.42,2.35,2.25,2.29,2.54,2.12,2.36,2.73,2.47,2.99,2.78,2.43,2.22,2.64,2.52,0,2.38,3.21,2.44,2.81,2.15,2.7,3.35,2.28,0,2.29,,,
Average_size_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,3.46,0,,,
Average_adults_total,1.55,1.58,1.63,1.77,1.54,1.45,1.48,1.55,1.68,1.45,1.54,1.72,1.6,1.86,1.75,1.61,1.52,1.63,1.62,1.72,1.53,1.8,1.69,1.75,1.5,1.72,1.88,1.6,2.08,1.49,,,
Average_adults_city,1.43,1.52,1.61,1.68,1.5,1.38,1.46,1.52,1.66,1.4,1.49,1.66,1.51,1.81,1.74,1.54,1.48,1.55,1.57,1.72,1.47,1.64,1.68,1.64,1.46,1.62,1.74,1.61,0,1.36,,,
Average_adults_town,1.54,1.67,1.65,1.87,1.51,1.52,1.45,1.64,1.72,1.46,1.55,1.72,1.63,1.85,1.73,1.65,1.51,1.67,1.52,1.66,1.6,1.79,1.74,1.8,1.51,1.72,1.87,1.57,0,1.51,,,
Average_adults_rural,1.67,1.66,1.64,1.85,1.62,1.6,1.53,1.57,1.7,1.49,1.59,1.8,1.66,1.91,1.78,1.65,1.55,1.73,1.69,0,1.61,1.99,1.66,1.82,1.51,1.77,2.08,1.58,0,1.56,,,
Average_adults_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63,2.08,0,,,
