transit_mode,settlement_type,weight
bus,metropolitan_center,2
car,metropolitan_center,0.3
metro,metropolitan_center,3
tram,metropolitan_center,3
train,metropolitan_center,2
rail_transport,metropolitan_center,2
road_transport,metropolitan_center,2
waterways_transport,metropolitan_center,2
bus,urban,1.5
car,urban,0.7
metro,urban,0
tram,urban,2
train,urban,1.5
rail_transport,urban,2
road_transport,urban,1.5
waterways_transport,urban,1
bus,suburban,1
car,suburban,1.2
metro,suburban,0
tram,suburban,0
train,suburban,0.7
rail_transport,suburban,1
road_transport,suburban,0.5
waterways_transport,suburban,0.5
bus,town,0.8
car,town,1.2
metro,town,0
tram,town,0
train,town,0.7
rail_transport,town,1
road_transport,town,1
waterways_transport,town,0.7
bus,rural,0.5
car,rural,3
metro,rural,0
tram,rural,0
train,rural,0.5
rail_transport,rural,0.5
road_transport,rural,0.5
waterways_transport,rural,0.2
